Qty,Description,DigiKey PN,Manufacturer Name,Manufacturer PN
14,22-26 AWG JST PUD Crimp Connectors,455-2518-1-ND,JST Sales America Inc.,SPUD-001T-P0.5
2,JST PUD 7x2 Female Housing,455-2471-ND,JST Sales America Inc.,PUDP-14V-S
,22 Gauge Stranded Wire,,,
